keyword,search_volume,cpc,competition,intent,source_seed
"kalkulator kredytu hipotecznego",110000,0.38,0.74,"informational","kalkulator kredytu hipotecznego"
"kredyt hipoteczny kalkulator",40500,0.56,0.78,"informational","kredyt hipoteczny szczecin"
"kalkulator nadpłat kredytu hipotecznego",14800,0.61,0.02,"informational","kalkulator kredytu hipotecznego"
"kalkulator nadpłaty kredytu hipotecznego",14800,0.61,0.02,"transactional","kalkulator kredytu hipotecznego"
"refinansowanie kredytu hipotecznego",8100,2.05,0.8,"commercial","refinansowanie kredytu hipotecznego"
"kalkulator raty kredytu hipotecznego",6600,0.24,0.65,"informational","kalkulator kredytu hipotecznego"
"szczegółowy kalkulator kredytu hipotecznego",2900,0.39,0.72,"informational","kalkulator kredytu hipotecznego"
"refinansowanie kredytu hipotecznego kalkulator",1900,1.42,0.77,"commercial","kalkulator kredytu hipotecznego"
"nadpłata kredytu hipotecznego kalkulator",1900,0.62,0.05,"informational","kalkulator kredytu hipotecznego"
"kalkulator zdolności kredytu hipotecznego",1900,0.54,0.71,"informational","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego ing",1900,0.14,0.37,"informational","kalkulator kredytu hipotecznego"
"ing kalkulator kredytu hipotecznego",1900,0.12,0.28,"informational","kalkulator kredytu hipotecznego"
"doradca kredytowy koszalin",1600,4.51,0.17,"commercial","doradca kredytowy szczecin"
"kalkulator rat kredytu hipotecznego",1600,0.32,0.59,"informational","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego pko",1300,1.21,0.18,"informational","kalkulator kredytu hipotecznego"
"rata kredytu hipotecznego kalkulator",1300,0.4,0.74,"informational","kalkulator kredytu hipotecznego"
"raty kredytu hipotecznego kalkulator",1300,0.4,0.74,"informational","kalkulator kredytu hipotecznego"
"kalkulator spłaty kredytu hipotecznego",1000,0.47,0.07,"informational","kalkulator kredytu hipotecznego"
"kalkulator refinansowanie kredytu hipotecznego",880,1.14,0.75,"informational","kalkulator kredytu hipotecznego"
"kalkulator refinansowania kredytu hipotecznego",880,1.14,0.75,"informational","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego nadpłata",880,0.67,0.02,"informational","kalkulator kredytu hipotecznego"
"mbank kalkulator kredytu hipotecznego",880,0.51,0.6,"navigational","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego totalmoney",880,0.02,0.28,"informational","kalkulator kredytu hipotecznego"
"doradca kredytowy szczecin",720,6.8,0.66,"commercial","doradca kredytowy szczecin"
"najlepszy kredyt hipoteczny",720,1.81,0.82,"commercial","najlepszy kredyt hipoteczny"
"pko kalkulator kredytu hipotecznego",720,1.47,0.22,"informational","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego pko bp",720,1.32,0.2,"navigational","kalkulator kredytu hipotecznego"
"wcześniejsza spłata kredytu hipotecznego kalkulator",720,0.78,0.1,"transactional","kalkulator kredytu hipotecznego"
"uokik kalkulator nadpłaty kredytu hipotecznego",720,0.73,0.02,"informational","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego uokik",590,0.82,0.02,"informational","kalkulator kredytu hipotecznego"
"ing refinansowanie kredytu hipotecznego",480,2.73,0.68,"commercial","refinansowanie kredytu hipotecznego"
"kalkulator nadpłaty kredytu hipotecznego gov",480,0.54,0.02,"navigational","kalkulator kredytu hipotecznego"
"kalkulator kredytu hipotecznego mbank",480,0.41,0.55,"navigational","kalkulator kredytu hipotecznego"
"kalkulator zmiany oprocentowania kredytu hipotecznego",480,0.34,0.05,"informational","kalkulator kredytu hipotecznego"
